受信日：8/1-9/17,,,,,,,,,,,,
No,受付年度,受付課,受付番号,状態,受信日,情報名,登録地点,路線名,対応種別,完了年月日,緯度,経度
52,2025,清水道路整備課,1400,未対応,2025年8月4日,家に、山からの水が入り込んでくる,静岡市清水区船越１丁目８-22（現在は24）,船越町６号線,,,35.00175476,138.4666095
53,2025,清水道路整備課,1397,対応中,2025年8月4日,要望書【№108】民地の草でカーブミラーが見えない,折戸１丁目18,,,,34.9827907,138.5070939
54,2025,駿河道路整備課,1485,完了,2025年8月4日,木の枝がぶら下がっている,静岡市駿河区池田,池田日本平線,その他,2025年8月4日,34.98127597,138.4424122
55,2025,清水道路整備課,1395,完了,2025年8月4日,陥没疑２か所,静岡市清水区宍原1169-1,宍原入線,,2025年8月6日,35.1602884,138.5175164
56,2025,清水道路整備課,1399,完了,2025年8月4日,赤道の除草,静岡市清水区草薙　219-10裏手,赤道,除草,2025年8月13日,34.99647315,138.450707
57,2025,清水道路整備課,1398,完了,2025年8月4日,空き家から市道に、草木が飛び出て、通行に支障がある,静岡市清水区日立町６,日立町２号線,,2025年8月5日,34.99552424,138.4854356
58,2025,駿河道路整備課,1486,完了,2025年8月4日,ポストコーンが外れている（２件）　点字シートの剥がれ（１件）,静岡市駿河区八幡５丁目２４,,,2025年8月5日,34.96815546,138.402952
59,2025,清水道路整備課,1394,対応中,2025年8月4日,道路(舗装の穴など),静岡県静岡市清水区楠新田２０５－１,楠新田１号線,除草,,35.00747483,138.4446115
60,2025,駿河道路整備課,1483,完了,2025年8月4日,道路の陥没,静岡市駿河区登呂２丁目２０,中島高松線,舗装,2025年8月25日,34.95833467,138.4177273
61,2025,清水道路整備課,1392,依頼済,2025年8月4日,【道路管理瑕疵】As穴でタイヤとホイール破損,静岡市清水区興津中町,興津中町３２号線,,,35.0548817,138.5299947
62,2025,清水道路整備課,1393,完了,2025年8月4日,歩道の除草,静岡市清水区宮加三55,駒越富士見線,除草,2025年8月8日,34.98557851,138.489343
63,2025,駿河道路整備課,1482,完了,2025年8月4日,除草をお願いしたい。,静岡市駿河区中島,国道150号,除草,2025年8月8日,34.93944581,138.3964276
64,2025,清水道路整備課,1396,対応中,2025年8月4日,家の前の街路樹について,静岡市清水区入江１丁目１０-13（12の西隣）,柳橋大曲線,,,35.01837252,138.4803961
65,2025,駿河道路整備課,1481,完了,2025年8月4日,除草,静岡市駿河区大谷,大谷改良区１０号線,除草,2025年8月20日,34.96043129,138.4268942
66,2025,清水道路整備課,1391,対応中,2025年8月4日,赤道の草刈り,由比町屋原190-9,赤道,,,35.10572797,138.556847
67,2025,葵南道路整備課,1499,未対応,2025年8月4日,【道路緊急ダイヤル】As穴,静岡市葵区横田町１－１８,御幸町柚木旧東海道線,As穴,,34.97628068,138.392572
68,2025,駿河道路整備課,1480,完了,2025年8月4日,As穴,静岡市駿河区豊田３丁目３,有東１１号線,舗装,2025年8月25日,34.96746589,138.4104578
69,2025,駿河道路整備課,1479,依頼済,2025年8月4日,As穴,静岡市駿河区豊田３丁目７,有東１１号線,舗装,,34.96572208,138.4120348
70,2025,清水道路整備課,1390,完了,2025年8月4日,【道路緊急ダイアル】動物の屍骸（何かは不明）,静岡市清水区草薙,北矢部草薙線,,2025年8月4日,34.98956742,138.4570015
71,2025,駿河道路整備課,1478,完了,2025年8月4日,【事故】縁石を擦った,静岡市駿河区八幡５丁目１,森下公園高松線,,2025年8月5日,34.96514161,138.3980596
72,2025,清水道路整備課,1389,完了,2025年8月4日,路肩の除草,静岡市清水区由比　寺尾,富士由比線,除草,2025年8月7日,35.09318635,138.5506207
73,2025,葵南道路整備課,1497,完了,2025年8月4日,【道路パトロール】除草,静岡市葵区羽鳥本町,国道362号,除草,2025年9月11日,34.98334377,138.3206485
74,2025,葵南道路整備課,1496,依頼済,2025年8月4日,【一斉パトロール】ポストコーン損傷,静岡市葵区沓谷五丁目,沓谷千代田城北１号線,,,34.99528248,138.4067853
75,2025,葵南道路整備課,1495,完了,2025年8月4日,街路樹の剪定について,静岡市葵区本通三丁目,藤枝静岡線,,2025年8月14日,34.97404098,138.3775661
76,2025,葵南道路整備課,1498,対応中,2025年8月4日,照明灯にラクガキ(葵1093),静岡市葵区若松町121-13地先,駒形井宮線,照明,,34.98111053,138.3660475
77,2025,清水道路整備課,1387,完了,2025年8月4日,側溝ふたの隙間,静岡市清水区北脇,北脇１１号線,,2025年8月6日,35.01293805,138.462628
78,2025,駿河道路整備課,1476,完了,2025年8月4日,道路(舗装の穴など),静岡県静岡市駿河区登呂五丁目２１－４７－１,東名ガード下,,2025年8月5日,34.953856,138.410371
79,2025,清水道路整備課,1388,完了,2025年8月4日,交通標識を撤去するので同じ支柱に設置しているカーブミラーの取外し,静岡市清水区高橋４丁目１８ー４６,永楽町高橋五丁目線,カーブミラー,2025年9月8日,35.02687568,138.4707059
80,2025,駿河道路整備課,1477,完了,2025年8月4日,【事故】縁石に接触した,静岡市駿河区西脇,浜街道線,,2025年8月5日,34.94352733,138.4021324
81,2025,清水道路整備課,1384,完了,2025年8月4日,側溝蓋のガタツキ,静岡県静岡市清水区北矢部町一丁目６－４,北矢部町一丁目３号線,,2025年8月5日,35.00201171,138.483588
82,2025,清水道路整備課,1386,依頼済,2025年8月4日,「止まれ」引き直し,静岡市清水区船越３丁目７-1,北矢部１６号線,区画線,,34.99933475,138.4701732
83,2025,葵南道路整備課,1494,対応中,2025年8月4日,桝ヒビがはいっている,静岡市葵区相俣,相俣ワラヤマ２号線,構造物,,35.03040304,138.2420118
84,2025,駿河道路整備課,1475,完了,2025年8月4日,倒木,静岡市駿河区古宿,池田日本平線,,2025年8月4日,34.96858384,138.4549809
85,2025,清水道路整備課,1385,完了,2025年8月4日,交通標識を撤去するので同じ支柱に設置しているカーブミラーの取外し,静岡市清水区渋川１丁目８－２０,渋川区画２７号線,カーブミラー,2025年9月8日,35.02277293,138.4698908
86,2025,清水道路整備課,1383,完了,2025年8月4日,【道路緊急ダイアル】落下物（ダンボール）,静岡市清水区駒越西２丁目１８,国道150号,,2025年8月5日,34.97229986,138.4933141
87,2025,葵南道路整備課,1493,完了,2025年8月4日,舗装のへこみ,静岡市葵区千代一丁目９ー６,千代８号線,舗装,2025年8月26日,34.98189308,138.3516732
88,2025,葵南道路整備課,1492,完了,2025年8月4日,As穴,静岡市葵区羽鳥七丁目11-26地先,羽鳥洞慶院２号線,As穴,2025年8月5日,34.98949984,138.3305892
89,2025,駿河道路整備課,1474,依頼済,2025年8月4日,交差点安全対策,静岡市駿河区下島,宝台院下島線,区画線,,34.94471189,138.4083911
90,2025,葵南道路整備課,1491,完了,2025年8月4日,グレーチングへの交換,静岡市葵区羽鳥本町2-33地先,位置指定道路(静-H07-0060),側溝,2025年8月4日,34.98298748,138.3327294
91,2025,葵南道路整備課,1490,完了,2025年8月4日,グレーチング内の金網除去,静岡市葵区羽鳥六丁目25-57付近,"羽鳥建穂２号線,羽鳥的場２号線",側溝,2025年8月6日,34.98760345,138.3370787
92,2025,清水道路整備課,1382,完了,2025年8月4日,Co蓋が何年も前に壊れている。蓋を設置してほしい,静岡市清水区船越１丁目４-13,船越町９号線,側溝,2025年8月7日,35.00183997,138.4660399
93,2025,駿河道路整備課,1473,完了,2025年8月4日,歩行者通行安全措置,静岡市駿河区下島,下島８号線,,2025年8月15日,34.94472614,138.4123862
94,2025,清水道路整備課,1381,依頼済,2025年8月4日,要望書【№97】グレーチングの腐食,静岡市清水区由比　寺尾464-8,庵坂３号線,,,35.09178195,138.5482944
95,2025,駿河道路整備課,1472,完了,2025年8月4日,止まれ復旧,静岡市駿河区下島,下島７号線,区画線,2025年8月25日,34.94586392,138.4116311
96,2025,清水道路整備課,1380,完了,2025年8月4日,【道路緊急ダイアル】こぶしぐらいの穴,静岡市清水区永楽町８ー６,静岡清水線,,2025年8月4日,35.02425923,138.4754828
97,2025,駿河道路整備課,1471,完了,2025年8月4日,歩行者通行安全措置,静岡市駿河区下島,静岡下島線,,2025年8月15日,34.9461305,138.4123164
98,2025,駿河道路整備課,1470,依頼済,2025年8月4日,側溝蓋割れ,静岡市駿河区東新田４丁目１６,東新田区画３３号線,側溝,,34.94378386,138.3752775
99,2025,葵南道路整備課,1489,対応中,2025年8月4日,側溝蓋のがたつき,静岡市葵区羽鳥二丁目９,羽鳥二丁目２号線,,,34.9772283,138.3460278
100,2025,駿河道路整備課,1468,完了,2025年8月4日,側溝蓋がずれている（隙間？）,静岡市駿河区小坂,小坂谷口２号線,,2025年8月7日,34.92582363,138.3474009
101,2025,清水道路整備課,1379,完了,2025年8月4日,【道路緊急ダイアル】動物の屍骸（犬・猫・狸）,静岡市清水区庵原町８５０－１７,庵原町４号線,,2025年8月2日,35.04939598,138.4715719
102,2025,清水道路整備課,1378,完了,2025年8月4日,要望書【№なし】カーブミラー角度調整,静岡市清水区楠新田、楠67、498,楠楠新田線,,2025年8月5日,35.00801827,138.4407549
103,2025,駿河道路整備課,1469,完了,2025年8月4日,カーブミラー(損傷など),静岡県静岡市駿河区丸子３２６１,丸子泉ヶ谷線,,2025年8月12日,34.95452775,138.332412
104,2025,清水道路整備課,1377,完了,2025年8月4日,【事故№51】旅行者が縁石に接触,静岡市清水区駒越南町３,駒越南町三保線,,2025年8月5日,34.98256822,138.5054164
105,2025,葵南道路整備課,1487,完了,2025年8月4日,桝が臭う,静岡市葵区新富町六丁目１,安西内新田２号線,側溝,2025年8月15日,34.96917064,138.369782
106,2025,駿河道路整備課,1467,完了,2025年8月4日,除草,静岡市駿河区下島,静岡清水自転車道線,除草,2025年8月20日,34.94155736,138.4107562
107,2025,駿河道路整備課,1487,依頼済,2025年8月4日,転落防止柵の設置,静岡市駿河区丸子新田,（市）手越東新田丸子新田線,,,34.94785226,138.3690436
108,2025,清水道路整備課,1376,完了,2025年8月4日,「止まれ」引き直し,静岡市清水区和田島303,農道戸倉和田島線,区画線,2025年8月4日,35.10767182,138.4784586
109,2025,駿河道路整備課,1466,完了,2025年8月4日,舗装,静岡市駿河区豊田２丁目８,有東大谷線,As穴,2025年8月5日,34.96654057,138.4131277
110,2025,駿河道路整備課,1465,対応中,2025年8月4日,埋設管の撤去,静岡市駿河区丸子５丁目２２,丸子常磐団地８号線,,,34.94239254,138.3542027
111,2025,葵南道路整備課,1488,依頼済,2025年8月4日,【道路施設損傷事故】街路樹衝突,静岡市葵区西草深町２４,麻機街道線,,2025年8月6日,34.98233995,138.3765605
112,2025,清水道路整備課,1375,完了,2025年8月4日,陥没,静岡市清水区永楽町８,静岡清水線,,2025年8月7日,35.02425765,138.4754864
113,2025,清水道路整備課,1374,完了,2025年8月4日,山側法面の除草,静岡市清水区蒲原　堰沢４５７－５,山手線,除草,2025年8月4日,35.11582027,138.5817287
114,2025,駿河道路整備課,1462,完了,2025年8月4日,UPS取替,静岡市駿河区石部,国道150号,修繕,2025年9月9日,34.91322465,138.3515661
115,2025,葵南道路整備課,1486,完了,2025年8月4日,防護柵などその他→ラバーポール損傷,静岡県静岡市葵区音羽町１０－２,鷹匠町音羽町２号線,その他,2025年8月12日,34.98027966,138.3950808
116,2025,葵南道路整備課,1512,完了,2025年8月5日,道路(舗装の穴など),静岡県静岡市葵区与一六丁目１０－１６,与一右衛門新田５号線,舗装,2025年8月7日,35.01340195,138.371586
117,2025,駿河道路整備課,1501,完了,2025年8月5日,側溝(破損・蓋のガタツキなど),静岡県静岡市駿河区片山２５－９,大谷改良区３号線,側溝,2025年8月5日,34.96398,138.424747
118,2025,駿河道路整備課,1499,完了,2025年8月5日,側溝蓋割れ,静岡市駿河区大谷,法定外道路（赤道）,側溝,2025年9月5日,34.96616612,138.4238839
119,2025,清水道路整備課,1414,完了,2025年8月5日,道路沿いの草刈り,静岡市清水区蒲原,富士見六千坪線,除草,2025年8月13日,35.12507428,138.6264061
120,2025,葵南道路整備課,1511,完了,2025年8月5日,落下物の回収について,静岡市葵区南一丁目１７,山脇大谷線,その他,2025年8月5日,35.02091734,138.3872791
121,2025,葵南道路整備課,1510,完了,2025年8月5日,歩道上にイスが置いてある,静岡市葵区呉服町一丁目,呉服町通線,その他,2025年8月6日,34.97561385,138.3802205
122,2025,駿河道路整備課,1497,完了,2025年8月5日,除草の要望。,静岡市駿河区登呂４丁目２７,（市）登呂遺跡南側３号線,除草,2025年8月25日,34.95490844,138.4113072
123,2025,清水道路整備課,1413,依頼済,2025年8月5日,山原川護岸隙間からの差し水,清水区蜂ヶ谷南町1-9地先,蜂ケ谷南町３号線,,,35.03718133,138.4633694
124,2025,清水道路整備課,1412,完了,2025年8月5日,旧宮加三団地の土地の草刈りについて,静岡市清水区宮加三,村松山ノ手４号線,,2025年8月19日,34.98692659,138.4872396
125,2025,葵南道路整備課,1508,完了,2025年8月5日,除草依頼,静岡市葵区豊地地内,山脇大谷線,除草,2025年9月8日,35.01382749,138.3982688
126,2025,駿河道路整備課,1496,完了,2025年8月5日,落下物,静岡市駿河区馬渕４丁目２,宝台院下島線,,2025年8月5日,34.96244436,138.3927379
127,2025,葵南道路整備課,1509,完了,2025年8月5日,【道路施設損傷事故】縁石擦過痕,静岡市葵区沓谷一丁目１,静岡清水線,,2025年8月19日,34.9885722,138.3983969
128,2025,駿河道路整備課,1495,完了,2025年8月5日,破線が消えている,静岡市駿河区広野３丁目５,丸子新田広野三丁目線,,2025年8月28日,34.93086852,138.3710555
129,2025,清水道路整備課,1411,依頼済,2025年8月5日,道路と家の間のＣｏが破損,静岡市清水区迎山町３-19,駒越山ノ手１号線,,,34.97738264,138.4930048
130,2025,清水道路整備課,1410,完了,2025年8月5日,ＩＬＢがガタついている,静岡市清水区辻１丁目２,,,2025年8月13日,35.02373885,138.4878461
131,2025,駿河道路整備課,1494,完了,2025年8月5日,破線が消えている,静岡市駿河区手越,手越東新田丸子新田線,,2025年8月28日,34.95690485,138.3666674
132,2025,駿河道路整備課,1493,対応中,2025年8月5日,ポストコーン折れ,静岡市駿河区広野２丁目,国道150号,,,34.93007221,138.3662257
133,2025,清水道路整備課,1409,完了,2025年8月5日,道路脇（ビンカン収集施設）からの越境樹木・雑草繁茂・Ａｓ穴,静岡市清水区八坂町,工場内道路（廃棄物処理課）,As穴,2025年8月6日,35.04133305,138.471762
134,2025,駿河道路整備課,1492,完了,2025年8月5日,砂利の撤去。,静岡市駿河区小坂,（国）150号,,2025年8月8日,34.92523308,138.35518
135,2025,駿河道路整備課,1490,完了,2025年8月5日,舗装穴,静岡市駿河区池田,国吉田池田１号線,舗装,2025年9月2日,34.98683845,138.4341679
136,2025,清水道路整備課,1408,依頼済,2025年8月5日,区画線のひき直しについて,静岡市清水区蒲原１丁目２,富士由比線,,,35.12831106,138.618666
137,2025,清水道路整備課,1407,依頼済,2025年8月5日,舗装のがたつきと樹木について,静岡市清水区蒲原,神沢白銀線,,,35.12331588,138.6143812
138,2025,清水道路整備課,1406,完了,2025年8月5日,ポストコーン破損,静岡市清水区蛇塚,国道150号,,2025年8月6日,34.96261748,138.4754663
139,2025,葵南道路整備課,1506,完了,2025年8月5日,除草,静岡市葵区瀬名川三丁目５－２地先,東名側道瀬名川２号線,除草,2025年8月13日,35.00776985,138.4341234
140,2025,清水道路整備課,1405,対応中,2025年8月5日,側溝蓋に穴が空いている,静岡市清水区船越１丁目６,船越町８号線,,,35.00321925,138.4671462
141,2025,清水道路整備課,1404,対応中,2025年8月5日,要望書【№99】外側線と路面標示,静岡市清水区高橋５丁目６-6～2-1,清水東高巴川２号線,,,35.02652769,138.469835
142,2025,清水道路整備課,1403,対応中,2025年8月5日,舗装,静岡市清水区由比,本町線,,,35.10806601,138.5676898
143,2025,駿河道路整備課,1489,完了,2025年8月5日,道路のへこみ,静岡市駿河区中島,中島西島１号線,As穴,2025年8月5日,34.93885311,138.3970606
144,2025,清水道路整備課,1402,完了,2025年8月5日,道路の凹み（陥没）,静岡市清水区三光町４-26,三光町１号線,,2025年8月5日,35.00277895,138.4867227
145,2025,葵南道路整備課,1504,対応中,2025年8月5日,舗装のへこみ→陥没,静岡市葵区田町四丁目,田町四・五丁目線,陥没,,34.96986041,138.3661602
146,2025,葵南道路整備課,1505,対応中,2025年8月5日,木の枝が落下しそう,静岡市葵区黒俣,藤枝黒俣線,,,35.04074087,138.2266088
147,2025,清水道路整備課,1401,対応中,2025年8月5日,グレーチングが落ちそう,静岡市清水区三保,塚間羽衣１号線,,,35.00165378,138.5094204
148,2025,駿河道路整備課,1488,完了,2025年8月5日,As穴,静岡市駿河区高松２丁目１１,高松土地区画６４号線,,2025年8月5日,34.95167828,138.4211721
149,2025,葵南道路整備課,1503,完了,2025年8月5日,(葵1921)カーブミラーが傾いている,静岡市葵区瀬名川三丁目２０,瀬名川１２号線,カーブミラー,2025年9月1日,35.00783765,138.4297193
150,2025,葵南道路整備課,1501,完了,2025年8月5日,漏水疑い,静岡市葵区羽鳥一丁目１７ー４０,羽鳥美ノ郷３号線,その他,2025年8月5日,34.98218609,138.3457494
151,2025,駿河道路整備課,1511,完了,2025年8月6日,動物死骸,静岡市駿河区向敷地５丁目６,手越向敷地1号線,動物死骸,2025年8月6日,34.95935686,138.3639089
152,2025,道路保全課,26,完了,2025年8月6日,動物死骸,静岡市清水区興津中町621,国道1号線,動物死骸,2025年8月18日,35.05397362,138.52841
153,2025,清水道路整備課,1429,完了,2025年8月6日,As穴,静岡市清水区広瀬,茂畑横砂線,,2025年8月7日,35.05415116,138.4975577
154,2025,駿河道路整備課,1509,完了,2025年8月6日,カーブミラーの撤去。,静岡市駿河区中田本町４６,(市)中田西脇１号線,,2025年8月25日,34.95343553,138.394823
155,2025,葵南道路整備課,1523,完了,2025年8月6日,道路(舗装の穴など),静岡県静岡市葵区与一二丁目１０－１０,秋山町与一右衛門新田１号線,As穴,2025年8月7日,35.00731849,138.3657566
156,2025,清水道路整備課,1428,完了,2025年8月6日,側溝にカギを落とした,静岡市清水区駒越東町９,国道150号,,2025年8月6日,34.98164792,138.5040747
157,2025,駿河道路整備課,1508,完了,2025年8月6日,グレーティングがない,静岡市駿河区有東１丁目１８,大和町有東線,側溝,2025年9月9日,34.96678011,138.4064306
158,2025,清水道路整備課,1426,依頼済,2025年8月6日,赤道舗装補修,静岡市清水区西里,赤道,,,35.12100362,138.449051
159,2025,葵南道路整備課,1521,対応中,2025年8月6日,歩車道境界の段差,静岡市葵区東静岡一丁目１,東静岡北口環状線,,,34.98422142,138.4110158
160,2025,清水道路整備課,1425,未対応,2025年8月6日,要望書【№100】カーブミラー新規設置,静岡市清水区駒越中２丁目２-16,駒越海岸１５号線,,,34.97975305,138.49522
161,2025,清水道路整備課,1424,完了,2025年8月6日,【7/15大雨】倒木,静岡市清水区吉原,新丹谷線,その他,2025年8月6日,35.08027174,138.4673404
162,2025,葵南道路整備課,1522,完了,2025年8月6日,Aｓ穴,静岡市葵区産女,奈良間手越線,舗装,2025年8月6日,34.97842951,138.3297946
163,2025,葵南道路整備課,1519,完了,2025年8月6日,民地内の陥没疑いについて,静岡市葵区古庄六丁目１４,巴川添２号線,,2025年8月19日,35.00016055,138.4260672
